Index,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
195,2077895,alice springs,au,-23.7,133.88,303.15,12,0,2.6
196,4898182,kankakee,us,41.12,-87.86,290.27,88,40,2.6
197,3374336,porto novo,cv,17.02,-25.06,295.15,83,20,11.3
198,1512019,aksarka,ru,66.56,67.8,279.175,100,0,0.72
199,696948,pidhorodna,ua,48.11,30.89,291.125,98,100,2.87
200,2136150,luganville,vu,-15.51,167.18,297.625,100,0,4.57
201,5848280,kapaa,us,22.08,-159.32,297.15,100,75,5.1
202,607610,zhanaozen,kz,43.35,52.85,298.325,16,32,2.87
203,1641899,labuhan,id,-2.54,115.51,303.875,67,48,1.57
204,6145425,shaunavon,ca,49.65,-108.41,290.725,67,0,2.22
205,3361934,saldanha,za,-33.01,17.94,287.15,93,92,7.2
206,3932145,pisco,pe,-13.71,-76.2,290.15,88,90,1.5
207,1650233,banjar,id,-7.37,108.54,304.025,54,20,2.67
208,6073561,mildmay,ca,44.04,-81.12,285.375,68,12,1.67
209,2024626,dzhebariki-khaya,ru,62.22,135.8,292.225,22,0,5.47
210,2019309,neryungri,ru,56.66,124.71,290.625,52,0,1.97
211,525426,sobolevo,ru,54.43,31.9,286.825,83,8,3.57
212,1071296,antalaha,mg,-14.9,50.28,296.225,100,92,1.62
213,693231,solone,ua,48.2,34.88,293.76,55,0,4.0
214,1511846,oktyabrskoye,ru,56.73,85.44,298.775,45,20,2.47
215,371745,kutum,sd,14.2,24.66,299.475,27,0,2.47
216,3685200,distraccion,co,10.9,-72.89,296.025,80,24,0.72
217,5983607,inuvik,ca,68.36,-133.71,272.48,74,40,5.1
218,2521582,arona,es,28.1,-16.68,291.09,82,75,2.82
219,1898494,songling,cn,31.19,120.72,300.15,54,75,3.0
220,1532612,yekaterinoslavka,ru,54.34,72.46,293.125,37,0,1.97
221,4156018,fort pierce,us,27.45,-80.33,294.63,88,1,1.62
222,2644605,lerwick,gb,60.15,-1.15,282.65,87,48,5.1
223,4035715,avarua,ck,-21.21,-159.78,298.15,88,40,2.1
224,737021,zonguldak,tr,41.25,31.83,295.15,64,0,3.1
225,186180,moyale,ke,3.52,39.06,291.225,96,92,2.62
226,5745380,pendleton,us,45.67,-118.79,288.7,58,1,6.2
227,2122090,pevek,ru,69.7,170.27,281.275,70,0,2.12
228,2399001,mayumba,ga,-3.44,10.65,296.375,97,88,1.67
229,648090,lieksa,fi,63.32,30.02,283.525,55,12,1.62
230,596238,palanga,lt,55.92,21.07,289.15,55,0,2.1
231,1257771,saiha,in,22.49,92.98,298.525,94,88,0.97
232,1106677,bambous virieux,mu,-20.34,57.76,296.15,83,75,0.5
233,2450173,taoudenni,ml,22.68,-3.98,296.925,26,0,4.52
234,3572189,high rock,bs,26.63,-78.28,300.275,100,32,4.47
235,4034551,faanui,pf,-16.48,-151.75,300.075,100,56,5.92
236,6089245,norman wells,ca,65.28,-126.83,286.15,71,75,3.1
237,3146487,maloy,no,61.94,5.11,286.59,67,0,2.1
238,3355672,luderitz,na,-26.65,15.16,284.625,80,20,3.42
239,3664980,boa vista,br,2.82,-60.67,297.15,100,40,1.0
240,5208292,arroyo,us,41.39,-78.88,287.11,72,1,2.1
241,2179825,waitati,nz,-45.75,170.57,283.725,67,68,5.02
242,4500920,brigantine,us,39.41,-74.36,291.9,88,1,1.5
243,1056899,sambava,mg,-14.27,50.17,297.125,100,92,3.57
244,5972762,hay river,ca,60.82,-115.79,284.15,93,40,2.6
245,1293625,dawei,mm,14.07,98.19,297.025,100,92,1.82
246,2017378,rudnogorsk,ru,57.27,103.75,290.925,71,32,1.77
247,6096551,pangnirtung,ca,66.15,-65.72,266.825,72,32,1.67
248,3839307,rawson,ar,-43.3,-65.11,278.775,41,0,6.67
249,2017912,plastun,ru,44.76,136.29,283.875,72,12,0.92
250,1177098,harnai,pk,30.1,67.94,308.375,26,0,1.62
251,1213821,sigli,id,5.38,95.96,306.075,62,68,1.82
252,3526646,jacala,mx,21.0,-99.19,291.025,91,80,0.32
253,986717,kruisfontein,za,-34.0,24.73,291.375,71,36,5.82
254,3374210,sao filipe,cv,14.9,-24.5,295.875,97,12,7.07
255,2439376,tahoua,ne,14.89,5.26,304.15,55,0,3.1
256,1283679,banepa,np,27.63,85.52,302.15,58,40,2.1
257,2155562,nelson bay,au,-32.72,152.14,288.15,93,90,3.1
258,352733,marsa matruh,eg,31.35,27.25,295.15,68,0,2.6
259,2082539,merauke,id,-8.49,140.4,303.175,67,88,7.27
260,2136825,isangel,vu,-19.55,169.27,294.825,100,76,6.02
261,3420846,qaqortoq,gl,60.72,-46.03,278.15,75,88,2.77
262,1048364,chokwe,mz,-24.53,32.98,288.625,92,0,1.32
263,2396518,port-gentil,ga,-0.72,8.78,298.15,94,75,3.1
264,4032369,pangai,to,-19.8,-174.35,298.15,94,75,4.1
265,2352250,afikpo,ng,5.88,7.92,297.225,93,44,3.77
266,2094027,kieta,pg,-6.22,155.63,301.125,88,68,1.57
267,3451138,rio grande,br,-32.03,-52.1,279.775,100,0,2.32
268,3456707,morro da fumaca,br,-28.65,-49.21,284.025,100,0,2.97
269,2208248,kaitangata,nz,-46.28,169.85,283.025,73,68,3.32
270,3393692,itarema,br,-2.92,-39.92,296.775,100,88,3.57
271,1715335,davila,ph,18.47,120.58,301.15,88,90,3.1
272,3652764,puerto ayora,ec,-0.74,-90.35,295.525,100,56,3.92
273,2126682,bilibino,ru,68.06,166.44,286.725,45,0,2.27
274,2063036,port lincoln,au,-34.72,135.86,289.225,88,88,3.67
275,2264923,peniche,pt,39.36,-9.38,286.65,87,40,2.6
276,1168633,paharpur,pk,32.1,70.97,303.575,63,64,2.82
277,5554428,ketchikan,us,55.34,-131.65,281.83,87,1,2.6
278,128234,kerman,ir,30.29,57.06,302.15,8,20,2.1
279,285663,bayan,kw,29.3,48.05,312.15,18,5,4.6
280,933995,souillac,mu,-20.52,57.52,296.15,83,75,0.5
281,2123621,mago,ru,53.27,140.15,291.875,36,56,2.92
282,2152659,port macquarie,au,-31.43,152.91,288.15,93,90,1.5
283,5666176,miles city,us,46.41,-105.84,294.15,73,1,2.52
